CodigoParlamentar,CodigoPublicoNaLegAtual,NomeParlamentar,NomeCompletoParlamentar,SexoParlamentar,FormaTratamento,UrlFotoParlamentar,UrlPaginaParlamentar,EmailParlamentar,SiglaPartidoParlamentar,UfParlamentar,DescricaoParticipacao,NumeroLegislatura_2,DataInicio_2,DataFim_2,CodigoParlamentar_Titular,NomeParlamentar_Titular,AssumiuDefinitivamente,TipoSaidaTitular,EmExercicio,CodigoParlamentar_Suplente,NomeParlamentar_Suplente
4531,837,Jayme Campos,Jayme Veríssimo de Campos,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4531.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4531,sen.jaymecampos@senado.leg.br,UNIÃO,MT,Titular,57,2023-02-01,2027-01-31,,,,,True,,
5895,863,Jorge Kajuru,Jorge Kajuru Reis da Costa Nasser,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5895.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5895,sen.jorgekajuru@senado.leg.br,PSB,GO,Titular,57,2023-02-01,2027-01-31,,,,,True,,
4811,900,Laércio Oliveira,Laércio José de Oliveira,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4811.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4811,sen.laerciooliveira@senado.leg.br,PP,SE,Titular,58,2027-02-01,2031-01-31,,,,,True,,
5979,853,Leila Barros,Leila Gomes de Barros Rêgo,Feminino,Senadora,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5979.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5979,sen.leilabarros@senado.leg.br,PDT,DF,Titular,57,2023-02-01,2027-01-31,,,,,True,,
5926,905,Lucas Barreto,Luiz Cantuária Barreto,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5926.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5926,sen.lucasbarreto@senado.leg.br,PSD,AP,Titular,57,2023-02-01,2027-01-31,,,,,True,,
1186,860,Luis Carlos Heinze,Luis Carlos Heinze,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1186.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/1186,sen.luiscarlosheinze@senado.leg.br,PP,RS,Titular,57,2023-02-01,2027-01-31,,,,,True,,
631,869,Magno Malta,Magno Pereira Malta,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador631.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/631,sen.magnomalta@senado.leg.br,PL,ES,Titular,58,2027-02-01,2031-01-31,,,,,True,,
5376,847,Mara Gabrilli,Mara Cristina Gabrilli,Feminino,Senadora,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5376.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5376,sen.maragabrilli@senado.leg.br,PSD,SP,Titular,57,2023-02-01,2027-01-31,,,,,True,,
742,813,Marcelo Castro,Marcelo Costa e Castro,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador742.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/742,sen.marcelocastro@senado.leg.br,MDB,PI,Titular,57,2023-02-01,2027-01-31,,,,,True,,
285,849,Marcio Bittar,Marcio Miguel Bittar,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador285.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/285,sen.marciobittar@senado.leg.br,PL,AC,Titular,57,2023-02-01,2027-01-31,,,,,True,,
5422,868,Marcos Rogério,Marcos Rogério da Silva Brito,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5422.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5422,sen.marcosrogerio@senado.leg.br,PL,RO,Titular,57,2023-02-01,2027-01-31,,,,,True,,
5942,862,Marcos do Val,Marcos Ribeiro do Val,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5942.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5942,sen.marcosdoval@senado.leg.br,AVANTE,ES,Titular,57,2023-02-01,2027-01-31,,,,,True,,
5985,858,Nelsinho Trad,Nelson Trad Filho,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5985.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5985,sen.nelsinhotrad@senado.leg.br,PSD,MS,Titular,57,2023-02-01,2027-01-31,,,,,True,,
5525,803,Omar Aziz,Omar José Abdel Aziz,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5525.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5525,sen.omaraziz@senado.leg.br,PSD,AM,Titular,58,2027-02-01,2031-01-31,,,,,True,,
5924,857,Oriovisto Guimarães,Oriovisto Guimaraes,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5924.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5924,sen.oriovistoguimaraes@senado.leg.br,PSDB,PR,Titular,57,2023-02-01,2027-01-31,,,,,True,,
5523,831,Otto Alencar,Otto Roberto Mendonça de Alencar,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5523.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5523,sen.ottoalencar@senado.leg.br,PSD,BA,Titular,58,2027-02-01,2031-01-31,,,,,True,,
825,859,Paulo Paim,Paulo Renato Paim,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador825.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/825,sen.paulopaim@senado.leg.br,PT,RS,Titular,57,2023-02-01,2027-01-31,,,,,True,,
5502,801,Plínio Valério,Francisco Plínio Valério Tomaz,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5502,sen.pliniovalerio@senado.leg.br,PSDB,AM,Titular,57,2023-02-01,2027-01-31,,,,,True,,
5386,917,Professora Dorinha Seabra,Maria Auxiliadora Seabra Rezende,Feminino,Senadora,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5386.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5386,sen.professoradorinhaseabra@senado.leg.br,UNIÃO,TO,Titular,58,2027-02-01,2031-01-31,,,,,True,,
5012,827,Randolfe Rodrigues,Randolph Frederich Rodrigues Alves,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5012.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5012,sen.randolferodrigues@senado.leg.br,PT,AP,Titular,57,2023-02-01,2027-01-31,,,,,True,,
70,875,Renan Calheiros,José Renan Vasconcelos Calheiros,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador70.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/70,sen.renancalheiros@senado.leg.br,MDB,AL,Titular,57,2023-02-01,2027-01-31,,,,,True,,
5207,804,Renan Filho,José Renan Vasconcelos Calheiros Filho,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5207.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5207,sen.renanfilho@senado.leg.br,MDB,AL,Titular,58,2027-02-01,2031-01-31,,,,,True,,
6025,927,Roberta Acioly,Roberta Leontina Xisto Acioly,Feminino,Senadora,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6025.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6025,sen.robertaacioly@senado.leg.br,REPUBLICANOS,RR,1º Suplente,57,2023-02-01,2027-01-31,6027,Mecias de Jesus,Sim,Renúncia,True,,
5732,844,Rodrigo Pacheco,Rodrigo Otavio Soares Pacheco,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5732.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5732,sen.rodrigopacheco@senado.leg.br,PSB,MG,Titular,57,2023-02-01,2027-01-31,,,,,True,,
4694,887,Rogerio Marinho,Rogério Simonetti Marinho,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4694.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4694,sen.rogeriomarinho@senado.leg.br,PL,RN,Titular,58,2027-02-01,2031-01-31,,,,,True,,
5352,830,Rogério Carvalho,Rogério Carvalho Santos,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5352.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5352,sen.rogeriocarvalho@senado.leg.br,PT,SE,Titular,57,2023-02-01,2027-01-31,,,,,True,,
5322,840,Romário,Romario de Souza Faria,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5322.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5322,sen.romario@senado.leg.br,PL,RJ,Titular,58,2027-02-01,2031-01-31,,,,,True,,
6331,886,Sergio Moro,Sergio Fernando Moro,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6331.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6331,sen.sergiomoro@senado.leg.br,PL,PR,Titular,58,2027-02-01,2031-01-31,,,,,True,,
5988,854,Soraya Thronicke,Soraya Vieira Thronicke,Feminino,Senadora,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5988.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5988,sen.sorayathronicke@senado.leg.br,PSB,MS,Titular,57,2023-02-01,2027-01-31,,,,,True,,
5959,817,Styvenson Valentim,Eann Styvenson Valentim Mendes,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5959.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5959,sen.styvensonvalentim@senado.leg.br,PODEMOS,RN,Titular,57,2023-02-01,2027-01-31,,,,,True,,
4560,850,Sérgio Petecão,Sérgio de Oliveira Cunha,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4560.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4560,sen.sergiopetecao@senado.leg.br,PSD,AC,Titular,57,2023-02-01,2027-01-31,,,,,True,,
6338,879,Teresa Leitão,Maria Teresa Leitão de Melo,Feminino,Senadora,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6338.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6338,sen.teresaleitao@senado.leg.br,PT,PE,Titular,58,2027-02-01,2031-01-31,,,,,True,,
5736,876,Tereza Cristina,Tereza Cristina Correa da Costa Dias,Feminino,Senadora,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5736.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5736,sen.terezacristina@senado.leg.br,PP,MS,Titular,58,2027-02-01,2031-01-31,,,,,True,,
5899,864,Vanderlan Cardoso,Vanderlan Vieira Cardoso,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5899.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5899,sen.vanderlancardoso@senado.leg.br,PSD,GO,Titular,57,2023-02-01,2027-01-31,,,,,True,,
5748,821,Veneziano Vital do Rêgo,Veneziano Vital do Rêgo Segundo Neto,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5748.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5748,sen.venezianovitaldorego@senado.leg.br,MDB,PB,Titular,57,2023-02-01,2027-01-31,,,,,True,,
1173,842,Wellington Fagundes,Wellington Antonio Fagundes,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1173.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/1173,sen.wellingtonfagundes@senado.leg.br,PL,MT,Titular,58,2027-02-01,2031-01-31,,,,,True,,
5411,808,Weverton,Weverton Rocha Marques de Sousa,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5411.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5411,sen.wevertonrocha@senado.leg.br,PDT,MA,Titular,57,2023-02-01,2027-01-31,,,,,True,,
5070,870,Wilder Morais,Wilder Pedro de Morais,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5070.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5070,sen.wildermorais@senado.leg.br,PL,GO,Titular,58,2027-02-01,2031-01-31,,,,,True,,
5783,818,Zenaide Maia,Zenaide Maia Calado Pereira dos Santos,Feminino,Senadora,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5783.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5783,sen.zenaidemaia@senado.leg.br,PSD,RN,Titular,57,2023-02-01,2027-01-31,,,,,True,,
3806,836,Zequinha Marinho,José da Cruz Marinho,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3806.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3806,sen.zequinhamarinho@senado.leg.br,PODEMOS,PA,Titular,57,2023-02-01,2027-01-31,,,,,True,,
6342,897,Jorge Seif,Jorge Seif Júnior,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6342.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6342,sen.jorgeseif@senado.leg.br,PL,SC,Titular,58,2027-02-01,2031-01-31,,,Não,Licença,False,6381,Hermes Klann
5016,880,Wellington Dias,José Wellington Barroso de Araujo Dias,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5016.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5016,wellington.dias@senador.leg.br,PT,PI,Titular,58,2027-02-01,2031-01-31,,,Não,Ocupação de cargo de ministro,False,6369,Jussara Lima
